Date	Average_WCE	Average_CA
2020-08-18	0.2155	0.2210
2020-08-19	0.2356	-0.2125
2020-08-20	0.3125	0.2932
2020-08-21	0.2229	-0.1550
2020-08-22	0.0689	-0.2279
2020-08-23	0.3450	-0.2065
2020-08-24	-0.0637	-0.2386
2020-08-25	0.2362	0.1638
2020-08-26	0.1857	-0.0914
2020-08-27	0.2654	0.3878
2020-08-28	0.1128	0.0222
2020-08-29	0.1116	-0.0809
2020-08-30	-0.0078	-0.2482
2020-08-31	0.1586	0.4113
2020-09-01	0.0659	-0.2679
2020-09-02	-0.0015	-0.0428
2020-09-03	0.2517	0.0555
2020-09-04	0.2026	-0.0892
2020-09-05	0.0714	-0.0851
2020-09-06	0.2778	0.0563
2020-09-07	-0.1340	-0.2863
2020-09-08	0.2539	0.0999
2020-09-09	-0.2530	-0.0131
2020-09-10	0.1929	-0.2108
2020-09-11	0.3701	0.0255
2020-09-12	0.2515	-0.0723
2020-09-13	0.1333	-0.0698
2020-09-14	0.2210	0.1360
2020-09-15	0.1859	0.1302
2020-09-16	0.3716	0.1604
2020-09-17	0.0640	-0.1340
2020-09-18	0.3107	-0.2479
2020-09-19	0.5524	0.4943
2020-09-20	-0.0739	0.4034
2020-09-21	0.6168	0.1255
2020-09-22	0.5623	0.1572
2020-09-23	0.4445	0.1363
2020-09-24	0.3163	0.1346
2020-09-25	0.1275	-0.0576
2020-09-26	0.2496	-0.0393
2020-09-27	0.0373	0.1551
2020-09-28	0.3053	-0.0137
2020-09-29	0.1703	-0.1850
2020-09-30	0.3413	-0.0588
2020-10-01	0.0795	0.0149
2020-10-02	0.2783	-0.0960
2020-10-03	0.8158	-0.5783
2020-10-04	0.3278	-0.3608
2020-10-05	0.0454	-0.1845
2020-10-06	0.1350	0.0195
2020-10-07	0.1011	-0.0210
2020-10-08	-0.0069	-0.0980
2020-10-09	0.2973	-0.4190
2020-10-10	0.0008	0.3068
2020-10-11	-0.3061	0.2402
2020-10-12	0.1261	0.0353
2020-10-13	-0.1358	-0.3440
2020-10-14	0.2069	-0.1022
2020-10-15	0.1054	-0.1543
2020-10-16	0.2293	0.3271
2020-10-17	-0.0353	0.0399
2020-10-18	0.3227	0.2587
2020-10-19	0.1658	-0.1784
2020-10-20	0.2614	-0.0464
2020-10-21	-0.0307	-0.1259
2020-10-22	-0.0181	0.0842
2020-10-23	0.1042	-0.2654
2020-10-25	-0.1472	-0.1920
2020-10-26	0.1963	0.1194
2020-10-27	0.1413	0.0286
2020-10-28	0.1088	-0.0137
2020-10-29	0.1057	-0.1153
2020-10-30	0.2437	0.0388
2020-10-31	0.0696	-0.2266
2020-11-01	0.0097	-0.1514
2020-11-02	0.0524	-0.4944
2020-11-03	0.1682	-0.3780
2020-11-04	0.1563	-0.1313
2020-11-05	0.0094	0.0224
2020-11-06	0.0602	-0.1980
2020-11-07	-0.0305	-0.4605
2020-11-08	0.4525	0.1461
2020-11-09	0.0390	-0.3438
2020-11-10	0.0810	-0.3672
2020-11-11	0.1442	-0.1837
2020-11-12	0.1763	-0.3475
2020-11-13	0.2842	-0.1693
2020-11-14	0.6437	-0.0814
2020-11-15	0.0292	0.2494
2020-11-16	0.4678	0.1461
2020-11-17	0.1754	0.0125
2020-11-18	0.0336	0.0275
2020-11-19	0.2161	-0.0996
2020-11-20	0.4183	-0.1115
2020-11-21	0.1880	0.0061
2020-11-22	0.4770	-0.0068
2020-11-23	0.0520	0.2804
2020-11-24	0.0403	0.1572
2020-11-25	0.2886	-0.0779
2020-11-26	0.2599	0.0735
2020-11-27	0.1681	-0.2630
2020-11-28	0.3859	-0.2671
2020-11-29	0.5228	0.4020
2020-11-30	0.1978	-0.2257
2020-12-01	0.3620	0.0326
2020-12-02	0.1315	-0.3114
2020-12-03	0.1450	-0.0938
2020-12-04	0.1264	-0.1103
2020-12-05	0.2609	0.0159
2020-12-06	0.0862	-0.0118
2020-12-07	0.0683	-0.1036
2020-12-08	0.2336	0.2719
2020-12-09	0.2615	0.0233
2020-12-10	0.3814	0.0488
2020-12-11	-0.0719	-0.1321
2020-12-12	0.2002	-0.0107
2020-12-13	-0.0060	-0.2500
2020-12-14	0.1163	-0.4101
2020-12-15	0.1285	-0.1661
2020-12-16	0.1838	0.0170
2020-12-17	0.2908	-0.1391
2020-12-18	0.2584	-0.1446
2020-12-19	0.0107	-0.1812
2020-12-20	0.3528	-0.1980
2020-12-21	0.1690	-0.1286
2020-12-22	0.0135	-0.2355
2020-12-23	0.3214	0.1449
2020-12-24	0.3222	0.1665
2020-12-25	0.3666	0.0205
2020-12-26	-0.0999	-0.1968
2020-12-27	0.1109	-0.1814
2020-12-28	0.3907	-0.0713
2020-12-29	0.5060	0.2854
2020-12-30	0.5311	-0.1873
2020-12-31	0.2469	-0.2058
2021-01-01	0.1810	0.0340
